"id","arrival","burst","wait","burst","turn"
"0","0.0","10.0","0.0","10.0","10.0"
"1","1.0","10.0","10.0","10.0","20.0"
"2","2.0","3.0","20.0","3.0","23.0"
"3","3.0","4.0","23.0","4.0","27.0"
"4","4.0","3.0","27.0","3.0","30.0"
"5","5.0","7.0","30.0","7.0","37.0"
"6","6.0","9.0","37.0","9.0","46.0"
"7","7.0","6.0","46.0","6.0","52.0"
"8","8.0","10.0","52.0","10.0","62.0"
"9","9.0","7.0","62.0","7.0","69.0"
"10","10.0","10.0","69.0","10.0","79.0"
"11","11.0","2.0","79.0","2.0","81.0"
"12","12.0","10.0","81.0","10.0","91.0"
"13","13.0","10.0","91.0","10.0","101.0"
"14","14.0","3.0","101.0","3.0","104.0"
"15","15.0","8.0","104.0","8.0","112.0"
"16","16.0","4.0","112.0","4.0","116.0"
"17","17.0","10.0","116.0","10.0","126.0"
"18","18.0","11.0","126.0","11.0","137.0"
"19","19.0","7.0","137.0","7.0","144.0"
"20","20.0","4.0","144.0","4.0","148.0"
"21","21.0","5.0","148.0","5.0","153.0"
"22","22.0","2.0","153.0","2.0","155.0"
"23","23.0","10.0","155.0","10.0","165.0"
"24","24.0","4.0","165.0","4.0","169.0"
"25","25.0","8.0","169.0","8.0","177.0"
"26","26.0","9.0","177.0","9.0","186.0"
"27","27.0","4.0","186.0","4.0","190.0"
"28","28.0","6.0","190.0","6.0","196.0"
"29","29.0","7.0","196.0","7.0","203.0"
"30","30.0","9.0","203.0","9.0","212.0"
"31","31.0","4.0","212.0","4.0","216.0"
"32","32.0","12.0","216.0","12.0","228.0"
"33","33.0","6.0","228.0","6.0","234.0"
"34","34.0","2.0","234.0","2.0","236.0"
"35","35.0","2.0","236.0","2.0","238.0"
"36","36.0","4.0","238.0","4.0","242.0"
"37","37.0","3.0","242.0","3.0","245.0"
"38","38.0","1.0","245.0","1.0","246.0"
"39","39.0","10.0","246.0","10.0","256.0"
"40","40.0","3.0","256.0","3.0","259.0"
"41","41.0","7.0","259.0","7.0","266.0"
"42","42.0","12.0","266.0","12.0","278.0"
"43","43.0","4.0","278.0","4.0","282.0"
"44","44.0","7.0","282.0","7.0","289.0"
"45","45.0","6.0","289.0","6.0","295.0"
"46","46.0","2.0","295.0","2.0","297.0"
"47","47.0","2.0","297.0","2.0","299.0"
"48","48.0","6.0","299.0","6.0","305.0"
"49","49.0","2.0","305.0","2.0","307.0"
"50","50.0","10.0","307.0","10.0","317.0"
"51","51.0","4.0","317.0","4.0","321.0"
"52","52.0","9.0","321.0","9.0","330.0"
"53","53.0","2.0","330.0","2.0","332.0"
"54","54.0","9.0","332.0","9.0","341.0"
"55","55.0","9.0","341.0","9.0","350.0"
"56","56.0","6.0","350.0","6.0","356.0"
"57","57.0","9.0","356.0","9.0","365.0"
"58","58.0","2.0","365.0","2.0","367.0"
"59","59.0","1.0","367.0","1.0","368.0"
"60","60.0","10.0","368.0","10.0","378.0"
