"id","arrival","burst","wait","burst","turn"
"0","0.0","7.0","0.0","7.0","7.0"
"1","1.0","4.0","7.0","4.0","11.0"
"2","2.0","1.0","11.0","1.0","12.0"
"3","3.0","7.0","12.0","7.0","19.0"
"4","4.0","5.0","19.0","5.0","24.0"
"5","5.0","11.0","24.0","11.0","35.0"
"6","6.0","12.0","35.0","12.0","47.0"
"7","7.0","4.0","47.0","4.0","51.0"
"8","8.0","9.0","51.0","9.0","60.0"
"9","9.0","1.0","60.0","1.0","61.0"
"10","10.0","11.0","61.0","11.0","72.0"
"11","11.0","8.0","72.0","8.0","80.0"
"12","12.0","11.0","80.0","11.0","91.0"
"13","13.0","9.0","91.0","9.0","100.0"
"14","14.0","8.0","100.0","8.0","108.0"
"15","15.0","7.0","108.0","7.0","115.0"
"16","16.0","2.0","115.0","2.0","117.0"
"17","17.0","7.0","117.0","7.0","124.0"
"18","18.0","12.0","124.0","12.0","136.0"
"19","19.0","2.0","136.0","2.0","138.0"
"20","20.0","7.0","138.0","7.0","145.0"
"21","21.0","3.0","145.0","3.0","148.0"
"22","22.0","2.0","148.0","2.0","150.0"
"23","23.0","8.0","150.0","8.0","158.0"
"24","24.0","11.0","158.0","11.0","169.0"
"25","25.0","12.0","169.0","12.0","181.0"
"26","26.0","6.0","181.0","6.0","187.0"
"27","27.0","2.0","187.0","2.0","189.0"
"28","28.0","2.0","189.0","2.0","191.0"
"29","29.0","5.0","191.0","5.0","196.0"
"30","30.0","6.0","196.0","6.0","202.0"
"31","31.0","9.0","202.0","9.0","211.0"
"32","32.0","12.0","211.0","12.0","223.0"
"33","33.0","6.0","223.0","6.0","229.0"
"34","34.0","11.0","229.0","11.0","240.0"
"35","35.0","9.0","240.0","9.0","249.0"
"36","36.0","12.0","249.0","12.0","261.0"
"37","37.0","3.0","261.0","3.0","264.0"
"38","38.0","8.0","264.0","8.0","272.0"
"39","39.0","12.0","272.0","12.0","284.0"
"40","40.0","10.0","284.0","10.0","294.0"
"41","41.0","2.0","294.0","2.0","296.0"
"42","42.0","12.0","296.0","12.0","308.0"
"43","43.0","1.0","308.0","1.0","309.0"
"44","44.0","11.0","309.0","11.0","320.0"
"45","45.0","4.0","320.0","4.0","324.0"
"46","46.0","10.0","324.0","10.0","334.0"
"47","47.0","1.0","334.0","1.0","335.0"
"48","48.0","3.0","335.0","3.0","338.0"
"49","49.0","3.0","338.0","3.0","341.0"
"50","50.0","9.0","341.0","9.0","350.0"
"51","51.0","1.0","350.0","1.0","351.0"
"52","52.0","5.0","351.0","5.0","356.0"
"53","53.0","3.0","356.0","3.0","359.0"
"54","54.0","8.0","359.0","8.0","367.0"
"55","55.0","4.0","367.0","4.0","371.0"
"56","56.0","7.0","371.0","7.0","378.0"
"57","57.0","6.0","378.0","6.0","384.0"
"58","58.0","3.0","384.0","3.0","387.0"
"59","59.0","7.0","387.0","7.0","394.0"
"60","60.0","2.0","394.0","2.0","396.0"
"61","61.0","10.0","396.0","10.0","406.0"
"62","62.0","7.0","406.0","7.0","413.0"
"63","63.0","1.0","413.0","1.0","414.0"
"64","64.0","10.0","414.0","10.0","424.0"
"65","65.0","3.0","424.0","3.0","427.0"
"66","66.0","6.0","427.0","6.0","433.0"
"67","67.0","2.0","433.0","2.0","435.0"
"68","68.0","4.0","435.0","4.0","439.0"
"69","69.0","8.0","439.0","8.0","447.0"
"70","70.0","2.0","447.0","2.0","449.0"
"71","71.0","10.0","449.0","10.0","459.0"
"72","72.0","5.0","459.0","5.0","464.0"
"73","73.0","2.0","464.0","2.0","466.0"
"74","74.0","2.0","466.0","2.0","468.0"
"75","75.0","8.0","468.0","8.0","476.0"
"76","76.0","4.0","476.0","4.0","480.0"
"77","77.0","11.0","480.0","11.0","491.0"
"78","78.0","10.0","491.0","10.0","501.0"
"79","79.0","9.0","501.0","9.0","510.0"
"80","80.0","9.0","510.0","9.0","519.0"
"81","81.0","4.0","519.0","4.0","523.0"
"82","82.0","6.0","523.0","6.0","529.0"
"83","83.0","2.0","529.0","2.0","531.0"
"84","84.0","3.0","531.0","3.0","534.0"
"85","85.0","2.0","534.0","2.0","536.0"
"86","86.0","9.0","536.0","9.0","545.0"
"87","87.0","3.0","545.0","3.0","548.0"
"88","88.0","10.0","548.0","10.0","558.0"
"89","89.0","9.0","558.0","9.0","567.0"
"90","90.0","3.0","567.0","3.0","570.0"
"91","91.0","9.0","570.0","9.0","579.0"
"92","92.0","4.0","579.0","4.0","583.0"
"93","93.0","7.0","583.0","7.0","590.0"
"94","94.0","4.0","590.0","4.0","594.0"
"95","95.0","6.0","594.0","6.0","600.0"
"96","96.0","8.0","600.0","8.0","608.0"
"97","97.0","3.0","608.0","3.0","611.0"
"98","98.0","10.0","611.0","10.0","621.0"
"99","99.0","11.0","621.0","11.0","632.0"
"100","100.0","12.0","632.0","12.0","644.0"
"101","101.0","12.0","644.0","12.0","656.0"
"102","102.0","8.0","656.0","8.0","664.0"
"103","103.0","6.0","664.0","6.0","670.0"
"104","104.0","7.0","670.0","7.0","677.0"
"105","105.0","10.0","677.0","10.0","687.0"
"106","106.0","10.0","687.0","10.0","697.0"
"107","107.0","4.0","697.0","4.0","701.0"
"108","108.0","11.0","701.0","11.0","712.0"
"109","109.0","3.0","712.0","3.0","715.0"
"110","110.0","2.0","715.0","2.0","717.0"
"111","111.0","7.0","717.0","7.0","724.0"
"112","112.0","1.0","724.0","1.0","725.0"
"113","113.0","10.0","725.0","10.0","735.0"
"114","114.0","12.0","735.0","12.0","747.0"
"115","115.0","2.0","747.0","2.0","749.0"
"116","116.0","7.0","749.0","7.0","756.0"
"117","117.0","9.0","756.0","9.0","765.0"
"118","118.0","8.0","765.0","8.0","773.0"
"119","119.0","1.0","773.0","1.0","774.0"
"120","120.0","6.0","774.0","6.0","780.0"
"121","121.0","6.0","780.0","6.0","786.0"
"122","122.0","3.0","786.0","3.0","789.0"
"123","123.0","6.0","789.0","6.0","795.0"
"124","124.0","9.0","795.0","9.0","804.0"
"125","125.0","9.0","804.0","9.0","813.0"
"126","126.0","10.0","813.0","10.0","823.0"
"127","127.0","12.0","823.0","12.0","835.0"
"128","128.0","2.0","835.0","2.0","837.0"
"129","129.0","7.0","837.0","7.0","844.0"
"130","130.0","7.0","844.0","7.0","851.0"
"131","131.0","2.0","851.0","2.0","853.0"
"132","132.0","2.0","853.0","2.0","855.0"
"133","133.0","4.0","855.0","4.0","859.0"
"134","134.0","10.0","859.0","10.0","869.0"
"135","135.0","7.0","869.0","7.0","876.0"
"136","136.0","2.0","876.0","2.0","878.0"
"137","137.0","9.0","878.0","9.0","887.0"
"138","138.0","11.0","887.0","11.0","898.0"
"139","139.0","11.0","898.0","11.0","909.0"
"140","140.0","2.0","909.0","2.0","911.0"
"141","141.0","5.0","911.0","5.0","916.0"
"142","142.0","1.0","916.0","1.0","917.0"
"143","143.0","9.0","917.0","9.0","926.0"
"144","144.0","11.0","926.0","11.0","937.0"
"145","145.0","8.0","937.0","8.0","945.0"
"146","146.0","8.0","945.0","8.0","953.0"
"147","147.0","8.0","953.0","8.0","961.0"
"148","148.0","3.0","961.0","3.0","964.0"
"149","149.0","10.0","964.0","10.0","974.0"
"150","150.0","6.0","974.0","6.0","980.0"
"151","151.0","3.0","980.0","3.0","983.0"
"152","152.0","6.0","983.0","6.0","989.0"
"153","153.0","10.0","989.0","10.0","999.0"
"154","154.0","5.0","999.0","5.0","1004.0"
"155","155.0","9.0","1004.0","9.0","1013.0"
"156","156.0","2.0","1013.0","2.0","1015.0"
"157","157.0","4.0","1015.0","4.0","1019.0"
"158","158.0","11.0","1019.0","11.0","1030.0"
"159","159.0","9.0","1030.0","9.0","1039.0"
"160","160.0","11.0","1039.0","11.0","1050.0"
"161","161.0","6.0","1050.0","6.0","1056.0"
"162","162.0","3.0","1056.0","3.0","1059.0"
"163","163.0","7.0","1059.0","7.0","1066.0"
"164","164.0","5.0","1066.0","5.0","1071.0"
"165","165.0","5.0","1071.0","5.0","1076.0"
"166","166.0","8.0","1076.0","8.0","1084.0"
"167","167.0","11.0","1084.0","11.0","1095.0"
"168","168.0","4.0","1095.0","4.0","1099.0"
"169","169.0","7.0","1099.0","7.0","1106.0"
"170","170.0","8.0","1106.0","8.0","1114.0"
"171","171.0","7.0","1114.0","7.0","1121.0"
"172","172.0","8.0","1121.0","8.0","1129.0"
"173","173.0","1.0","1129.0","1.0","1130.0"
"174","174.0","8.0","1130.0","8.0","1138.0"
