"id","arrival","burst","wait","burst","turn"
"1","0","10","179","10","189"
"2","1","3","9","3","12"
"3","2","10","299","10","309"
"4","3","4","24","4","28"
"5","4","2","6","2","8"
"6","5","2","8","2","10"
"7","6","11","517","11","528"
"8","7","3","47","3","50"
"9","8","12","531","12","543"
"10","9","11","542","11","553"
"11","10","10","471","10","481"
"12","11","2","20","2","22"
"13","12","7","388","7","395"
"14","13","3","84","3","87"
"15","14","8","399","8","407"
"16","15","10","501","10","511"
"17","16","9","505","9","514"
"18","17","2","26","2","28"
"19","18","1","29","1","30"
"20","19","7","417","7","424"
"21","20","4","123","4","127"
"22","21","9","512","9","521"
"23","22","2","35","2","37"
"24","23","5","299","5","304"
"25","24","9","521","9","530"
"26","25","4","154","4","158"
"27","26","3","165","3","168"
"28","27","3","169","3","172"
"29","28","5","328","5","333"
"30","29","6","332","6","338"
"31","30","11","579","11","590"
"32","31","7","462","7","469"
"33","32","3","205","3","208"
"34","33","5","356","5","361"
"35","34","4","214","4","218"
"36","35","11","581","11","592"
"37","36","7","476","7","483"
"38","37","5","375","5","380"
"39","38","3","235","3","238"
"40","39","7","476","7","483"
"41","40","2","66","2","68"
"42","41","9","547","9","556"
"43","42","7","478","7","485"
"44","43","11","575","11","586"
"45","44","3","244","3","247"
"46","45","5","382","5","387"
"47","46","9","545","9","554"
"48","47","7","479","7","486"
"49","48","6","386","6","392"
"50","49","4","250","4","254"
"51","50","9","542","9","551"
"52","51","7","479","7","486"
"53","52","1","86","1","87"
"54","53","3","256","3","259"
"55","54","10","539","10","549"
"56","55","10","540","10","550"
"57","56","2","93","2","95"
"58","57","6","390","6","396"
"59","58","4","260","4","264"
"60","59","8","477","8","485"
"61","60","8","478","8","486"
"62","61","2","100","2","102"
"63","62","10","535","10","545"
"64","63","7","479","7","486"
"65","64","3","267","3","270"
"66","65","10","534","10","544"
"67","66","2","111","2","113"
"68","67","4","269","4","273"
"69","68","10","533","10","543"
"70","69","7","481","7","488"
"71","70","4","272","4","276"
"72","71","2","120","2","122"
"73","72","4","272","4","276"
"74","73","9","530","9","539"
"75","74","5","395","5","400"
"76","75","10","529","10","539"
"77","76","8","480","8","488"
"78","77","11","542","11","553"
"79","78","8","482","8","490"
"80","79","10","529","10","539"
"81","80","7","484","7","491"
"82","81","5","403","5","408"
"83","82","9","528","9","537"
"84","83","4","290","4","294"
"85","84","10","528","10","538"
"86","85","8","486","8","494"
"87","86","11","534","11","545"
"88","87","8","488","8","496"
"89","88","7","489","7","496"
"90","89","4","300","4","304"
"91","90","11","531","11","542"
"92","91","8","489","8","497"
"93","92","8","490","8","498"
"94","93","7","491","7","498"
"95","94","1","164","1","165"
"96","95","4","307","4","311"
"97","96","7","491","7","498"
"98","97","3","310","3","313"
"99","98","9","521","9","530"
"100","99","4","313","4","317"
"aveW","aveT","aveB","totalB","totalT"
"367.77880000000005","364.2","6.32","632.0","0.0"
