"id","arrival","burst","wait","burst","turn"
"2","2.0","1.0","0.0","1.0","1.0"
"9","9.0","1.0","1.0","1.0","2.0"
"43","43.0","1.0","2.0","1.0","3.0"
"47","47.0","1.0","3.0","1.0","4.0"
"51","51.0","1.0","4.0","1.0","5.0"
"63","63.0","1.0","5.0","1.0","6.0"
"112","112.0","1.0","6.0","1.0","7.0"
"119","119.0","1.0","7.0","1.0","8.0"
"142","142.0","1.0","8.0","1.0","9.0"
"173","173.0","1.0","9.0","1.0","10.0"
"186","186.0","1.0","10.0","1.0","11.0"
"207","207.0","1.0","11.0","1.0","12.0"
"209","209.0","1.0","12.0","1.0","13.0"
"218","218.0","1.0","13.0","1.0","14.0"
"235","235.0","1.0","14.0","1.0","15.0"
"241","241.0","1.0","15.0","1.0","16.0"
"254","254.0","1.0","16.0","1.0","17.0"
"280","280.0","1.0","17.0","1.0","18.0"
"284","284.0","1.0","18.0","1.0","19.0"
"285","285.0","1.0","19.0","1.0","20.0"
"303","303.0","1.0","20.0","1.0","21.0"
"307","307.0","1.0","21.0","1.0","22.0"
"350","350.0","1.0","22.0","1.0","23.0"
"353","353.0","1.0","23.0","1.0","24.0"
"394","394.0","1.0","24.0","1.0","25.0"
"395","395.0","1.0","25.0","1.0","26.0"
"401","401.0","1.0","26.0","1.0","27.0"
"406","406.0","1.0","27.0","1.0","28.0"
"426","426.0","1.0","28.0","1.0","29.0"
"441","441.0","1.0","29.0","1.0","30.0"
"447","447.0","1.0","30.0","1.0","31.0"
"491","491.0","1.0","31.0","1.0","32.0"
"501","501.0","1.0","32.0","1.0","33.0"
"525","525.0","1.0","33.0","1.0","34.0"
"535","535.0","1.0","34.0","1.0","35.0"
"562","562.0","1.0","35.0","1.0","36.0"
"566","566.0","1.0","36.0","1.0","37.0"
"579","579.0","1.0","37.0","1.0","38.0"
"584","584.0","1.0","38.0","1.0","39.0"
"615","615.0","1.0","39.0","1.0","40.0"
"654","654.0","1.0","40.0","1.0","41.0"
"665","665.0","1.0","41.0","1.0","42.0"
"682","682.0","1.0","42.0","1.0","43.0"
"696","696.0","1.0","43.0","1.0","44.0"
"718","718.0","1.0","44.0","1.0","45.0"
"727","727.0","1.0","45.0","1.0","46.0"
"732","732.0","1.0","46.0","1.0","47.0"
"771","771.0","1.0","47.0","1.0","48.0"
"773","773.0","1.0","48.0","1.0","49.0"
"782","782.0","1.0","49.0","1.0","50.0"
"840","840.0","1.0","50.0","1.0","51.0"
"867","867.0","1.0","51.0","1.0","52.0"
"913","913.0","1.0","52.0","1.0","53.0"
"962","962.0","1.0","53.0","1.0","54.0"
"969","969.0","1.0","54.0","1.0","55.0"
"985","985.0","1.0","55.0","1.0","56.0"
"990","990.0","1.0","56.0","1.0","57.0"
"16","16.0","2.0","57.0","2.0","59.0"
"19","19.0","2.0","59.0","2.0","61.0"
"22","22.0","2.0","61.0","2.0","63.0"
"27","27.0","2.0","63.0","2.0","65.0"
"28","28.0","2.0","65.0","2.0","67.0"
"41","41.0","2.0","67.0","2.0","69.0"
"60","60.0","2.0","69.0","2.0","71.0"
"67","67.0","2.0","71.0","2.0","73.0"
"70","70.0","2.0","73.0","2.0","75.0"
"73","73.0","2.0","75.0","2.0","77.0"
"74","74.0","2.0","77.0","2.0","79.0"
"83","83.0","2.0","79.0","2.0","81.0"
"85","85.0","2.0","81.0","2.0","83.0"
"110","110.0","2.0","83.0","2.0","85.0"
"115","115.0","2.0","85.0","2.0","87.0"
"128","128.0","2.0","87.0","2.0","89.0"
"131","131.0","2.0","89.0","2.0","91.0"
"132","132.0","2.0","91.0","2.0","93.0"
"136","136.0","2.0","93.0","2.0","95.0"
"140","140.0","2.0","95.0","2.0","97.0"
"156","156.0","2.0","97.0","2.0","99.0"
"179","179.0","2.0","99.0","2.0","101.0"
"181","181.0","2.0","101.0","2.0","103.0"
"191","191.0","2.0","103.0","2.0","105.0"
"197","197.0","2.0","105.0","2.0","107.0"
"222","222.0","2.0","107.0","2.0","109.0"
"223","223.0","2.0","109.0","2.0","111.0"
"272","272.0","2.0","111.0","2.0","113.0"
"296","296.0","2.0","113.0","2.0","115.0"
"297","297.0","2.0","115.0","2.0","117.0"
"308","308.0","2.0","117.0","2.0","119.0"
"332","332.0","2.0","119.0","2.0","121.0"
"346","346.0","2.0","121.0","2.0","123.0"
"365","365.0","2.0","123.0","2.0","125.0"
"368","368.0","2.0","125.0","2.0","127.0"
"372","372.0","2.0","127.0","2.0","129.0"
"387","387.0","2.0","129.0","2.0","131.0"
"391","391.0","2.0","131.0","2.0","133.0"
"399","399.0","2.0","133.0","2.0","135.0"
"445","445.0","2.0","135.0","2.0","137.0"
"449","449.0","2.0","137.0","2.0","139.0"
"457","457.0","2.0","139.0","2.0","141.0"
"458","458.0","2.0","141.0","2.0","143.0"
"459","459.0","2.0","143.0","2.0","145.0"
"463","463.0","2.0","145.0","2.0","147.0"
"482","482.0","2.0","147.0","2.0","149.0"
"499","499.0","2.0","149.0","2.0","151.0"
"506","506.0","2.0","151.0","2.0","153.0"
"527","527.0","2.0","153.0","2.0","155.0"
"531","531.0","2.0","155.0","2.0","157.0"
"534","534.0","2.0","157.0","2.0","159.0"
"549","549.0","2.0","159.0","2.0","161.0"
"551","551.0","2.0","161.0","2.0","163.0"
"552","552.0","2.0","163.0","2.0","165.0"
"587","587.0","2.0","165.0","2.0","167.0"
"629","629.0","2.0","167.0","2.0","169.0"
"639","639.0","2.0","169.0","2.0","171.0"
"643","643.0","2.0","171.0","2.0","173.0"
"672","672.0","2.0","173.0","2.0","175.0"
"676","676.0","2.0","175.0","2.0","177.0"
"689","689.0","2.0","177.0","2.0","179.0"
"692","692.0","2.0","179.0","2.0","181.0"
"707","707.0","2.0","181.0","2.0","183.0"
"715","715.0","2.0","183.0","2.0","185.0"
"751","751.0","2.0","185.0","2.0","187.0"
"759","759.0","2.0","187.0","2.0","189.0"
"768","768.0","2.0","189.0","2.0","191.0"
"778","778.0","2.0","191.0","2.0","193.0"
"785","785.0","2.0","193.0","2.0","195.0"
"790","790.0","2.0","195.0","2.0","197.0"
"805","805.0","2.0","197.0","2.0","199.0"
"812","812.0","2.0","199.0","2.0","201.0"
"817","817.0","2.0","201.0","2.0","203.0"
"853","853.0","2.0","203.0","2.0","205.0"
"863","863.0","2.0","205.0","2.0","207.0"
"873","873.0","2.0","207.0","2.0","209.0"
"880","880.0","2.0","209.0","2.0","211.0"
"893","893.0","2.0","211.0","2.0","213.0"
"902","902.0","2.0","213.0","2.0","215.0"
"909","909.0","2.0","215.0","2.0","217.0"
"918","918.0","2.0","217.0","2.0","219.0"
"940","940.0","2.0","219.0","2.0","221.0"
"956","956.0","2.0","221.0","2.0","223.0"
"963","963.0","2.0","223.0","2.0","225.0"
"973","973.0","2.0","225.0","2.0","227.0"
"980","980.0","2.0","227.0","2.0","229.0"
"986","986.0","2.0","229.0","2.0","231.0"
"21","21.0","3.0","231.0","3.0","234.0"
"37","37.0","3.0","234.0","3.0","237.0"
"48","48.0","3.0","237.0","3.0","240.0"
"49","49.0","3.0","240.0","3.0","243.0"
"53","53.0","3.0","243.0","3.0","246.0"
"58","58.0","3.0","246.0","3.0","249.0"
"65","65.0","3.0","249.0","3.0","252.0"
"84","84.0","3.0","252.0","3.0","255.0"
"87","87.0","3.0","255.0","3.0","258.0"
"90","90.0","3.0","258.0","3.0","261.0"
"97","97.0","3.0","261.0","3.0","264.0"
"109","109.0","3.0","264.0","3.0","267.0"
"122","122.0","3.0","267.0","3.0","270.0"
"148","148.0","3.0","270.0","3.0","273.0"
