"id","arrival","burst","wait","burst","turn"
"1","0","10","201","10","211"
"2","1","10","318","10","328"
"3","2","3","14","3","17"
"4","3","4","24","4","28"
"5","4","3","29","3","32"
"6","5","7","363","7","370"
"7","6","9","1125","9","1134"
"8","7","6","164","6","170"
"9","8","10","1407","10","1417"
"10","9","7","599","7","606"
"11","10","10","1771","10","1781"
"12","11","2","20","2","22"
"13","12","10","2047","10","2057"
"14","13","10","2190","10","2200"
"15","14","3","95","3","98"
"16","15","8","916","8","924"
"17","16","4","110","4","114"
"18","17","10","2726","10","2736"
"19","18","11","4084","11","4095"
"20","19","7","1165","7","1172"
"21","20","4","142","4","146"
"22","21","5","442","5","447"
"23","22","2","40","2","42"
"24","23","10","2977","10","2987"
"25","24","4","171","4","175"
"26","25","8","1475","8","1483"
"27","26","9","3139","9","3148"
"28","27","4","190","4","194"
"29","28","6","595","6","601"
"30","29","7","1709","7","1716"
"31","30","9","3324","9","3333"
"32","31","4","219","4","223"
"33","32","12","4538","12","4550"
"34","33","6","684","6","690"
"35","34","2","60","2","62"
"36","35","2","61","2","63"
"37","36","4","246","4","250"
"38","37","3","251","3","254"
"39","38","1","66","1","67"
"40","39","10","3640","10","3650"
"41","40","3","267","3","270"
"42","41","7","2308","7","2315"
"43","42","12","4811","12","4823"
"44","43","4","288","4","292"
"45","44","7","2447","7","2454"
"46","45","6","906","6","912"
"47","46","2","80","2","82"
"48","47","2","83","2","85"
"49","48","6","951","6","957"
"50","49","2","87","2","89"
"51","50","10","4006","10","4016"
"52","51","4","341","4","345"
"53","52","9","4045","9","4054"
"54","53","2","95","2","97"
"55","54","9","4061","9","4070"
"56","55","9","4076","9","4085"
"57","56","6","1113","6","1119"
"58","57","9","4109","9","4118"
"59","58","2","104","2","106"
"60","59","1","107","1","108"
"61","60","10","4131","10","4141"
"62","61","12","5087","12","5099"
"63","62","3","414","3","417"
"64","63","3","420","3","423"
"65","64","12","5107","12","5119"
"66","65","12","5112","12","5124"
"67","66","4","434","4","438"
"68","67","5","1318","5","1323"
"69","68","9","4211","9","4220"
"70","69","5","1367","5","1372"
"71","70","2","125","2","127"
"72","71","12","5151","12","5163"
"73","72","5","1417","5","1422"
"74","73","9","4269","9","4278"
"75","74","4","491","4","495"
"76","75","6","1490","6","1496"
"77","76","1","137","1","138"
"78","77","4","511","4","515"
"79","78","1","140","1","141"
"80","79","4","521","4","525"
"81","80","9","4344","9","4353"
"82","81","9","4366","9","4375"
"83","82","1","147","1","148"
"84","83","6","1635","6","1641"
"85","84","1","150","1","151"
"86","85","11","5254","11","5265"
"87","86","4","565","4","569"
"88","87","4","575","4","579"
"89","88","1","157","1","158"
"90","89","11","5287","11","5298"
"91","90","11","5293","11","5304"
"92","91","2","163","2","165"
"93","92","7","3309","7","3316"
"94","93","11","5315","11","5326"
"95","94","4","619","4","623"
"96","95","11","5329","11","5340"
"97","96","9","4532","9","4541"
"98","97","4","640","4","644"
"99","98","6","1915","6","1921"
"100","99","7","3413","7","3420"
"101","100","7","3422","7","3429"
"102","101","8","3440","8","3448"
"103","102","7","3454","7","3461"
"104","103","7","3476","7","3483"
"105","104","11","5385","11","5396"
"106","105","9","4613","9","4622"
"107","106","2","187","2","189"
"108","107","11","5397","11","5408"
"109","108","3","711","3","714"
"110","109","7","3559","7","3566"
"111","110","4","726","4","730"
"112","111","5","2175","5","2180"
"113","112","4","737","4","741"
"114","113","5","2207","5","2212"
"115","114","3","747","3","750"
"116","115","2","203","2","205"
"117","116","10","4733","10","4743"
"118","117","2","207","2","209"
"119","118","1","208","1","209"
"120","119","3","777","3","780"
"121","120","6","2329","6","2335"
"122","121","2","214","2","216"
"123","122","2","215","2","217"
"124","123","3","801","3","804"
"125","124","10","4808","10","4818"
"126","125","11","5528","11","5539"
"127","126","6","2445","6","2451"
"128","127","3","832","3","835"
"129","128","11","5557","11","5568"
"130","129","3","841","3","844"
"131","130","6","2517","6","2523"
"132","131","11","5567","11","5578"
"133","132","8","3886","8","3894"
"134","133","2","232","2","234"
"135","134","10","4913","10","4923"
"136","135","4","871","4","875"
"137","136","1","237","1","238"
"138","137","3","879","3","882"
"139","138","2","239","2","241"
"140","139","11","5578","11","5589"
"141","140","3","890","3","893"
"142","141","5","2595","5","2600"
"143","142","9","4921","9","4930"
"144","143","1","248","1","249"
"145","144","10","4928","10","4938"
"146","145","11","5581","11","5592"
"147","146","11","5581","11","5592"
"148","147","2","255","2","257"
"149","148","1","256","1","257"
"150","149","9","4945","9","4954"
"151","150","2","259","2","261"
"152","151","9","4944","9","4953"
"153","152","7","3962","7","3969"
"154","153","5","2659","5","2664"
"155","154","2","265","2","267"
"156","155","3","987","3","990"
"157","156","6","2673","6","2679"
"158","157","7","3981","7","3988"
"159","158","9","4952","9","4961"
"160","159","3","1018","3","1021"
"161","160","9","4957","9","4966"
"162","161","9","4959","9","4968"
"163","162","8","4000","8","4008"
"164","163","3","1048","3","1051"
"165","164","3","1052","3","1055"
"166","165","5","2719","5","2724"
"167","166","9","4967","9","4976"
"168","167","5","2727","5","2732"
"169","168","8","4015","8","4023"
"170","169","8","4020","8","4028"
"171","170","8","4027","8","4035"
"172","171","10","4967","10","4977"
"173","172","4","1099","4","1103"
"174","173","7","4038","7","4045"
"175","174","5","2763","5","2768"
"176","175","12","5588","12","5600"
"177","176","1","303","1","304"
"178","177","10","4983","10","4993"
"179","178","4","1133","4","1137"
"180","179","1","305","1","306"
"181","180","10","4987","10","4997"
"182","181","7","4057","7","4064"
"183","182","6","2792","6","2798"
"184","183","2","311","2","313"
"185","184","2","314","2","316"
"186","185","3","1173","3","1176"
"187","186","1","318","1","319"
"188","187","7","4075","7","4082"
"189","188","1","321","1","322"
"190","189","2","321","2","323"
"191","190","11","5593","11","5604"
"192","191","11","5593","11","5604"
"193","192","6","2839","6","2845"
"194","193","11","5594","11","5605"
"195","194","3","1233","3","1236"
"196","195","11","5593","11","5604"
"197","196","8","4103","8","4111"
"198","197","7","4106","7","4113"
"199","198","2","338","2","340"
"200","199","3","1260","3","1263"
"201","200","4","1263","4","1267"
"202","201","7","4112","7","4119"
"203","202","3","1279","3","1282"
"204","203","3","1283","3","1286"
"205","204","4","1292","4","1296"
"206","205","1","349","1","350"
"207","206","9","5034","9","5043"
"208","207","10","5035","10","5045"
"209","208","6","2912","6","2918"
"210","209","3","1325","3","1328"
"211","210","9","5046","9","5055"
"212","211","5","2929","5","2934"
"213","212","8","4154","8","4162"
"214","213","4","1348","4","1352"
"215","214","8","4164","8","4172"
"216","215","4","1363","4","1367"
"217","216","7","4170","7","4177"
"218","217","1","370","1","371"
"219","218","7","4175","7","4182"
"220","219","10","5068","10","5078"
"221","220","9","5069","9","5078"
"222","221","10","5069","10","5079"
"223","222","8","4188","8","4196"
"224","223","4","1409","4","1413"
"225","224","5","2985","5","2990"
"226","225","9","5076","9","5085"
"227","226","8","4205","8","4213"
"228","227","2","385","2","387"
"229","228","11","5613","11","5624"
"230","229","5","3014","5","3019"
"231","230","5","3024","5","3029"
"232","231","2","392","2","394"
"233","232","8","4230","8","4238"
"234","233","3","1477","3","1480"
"235","234","4","1481","4","1485"
"236","235","10","5095","10","5105"
"237","236","12","5615","12","5627"
"238","237","9","5097","9","5106"
"239","238","10","5100","10","5110"
"240","239","9","5101","9","5110"
"241","240","3","1525","3","1528"
"242","241","5","3078","5","3083"
"243","242","1","413","1","414"
"244","243","5","3087","5","3092"
"245","244","7","4271","7","4278"
"246","245","2","417","2","419"
"247","246","2","420","2","422"
"248","247","2","421","2","423"
"249","248","3","1567","3","1570"
"250","249","4","1576","4","1580"
"251","250","7","4286","7","4293"
"252","251","4","1591","4","1595"
"253","252","7","4298","7","4305"
"254","253","1","433","1","434"
"255","254","4","1608","4","1612"
"256","255","7","4304","7","4311"
"257","256","2","435","2","437"
"258","257","6","3142","6","3148"
"259","258","3","1623","3","1626"
"260","259","2","440","2","442"
"261","260","7","4310","7","4317"
"262","261","3","1647","3","1650"
"263","262","9","5143","9","5152"
"264","263","11","5636","11","5647"
"265","264","4","1667","4","1671"
"266","265","3","1675","3","1678"
"267","266","5","3183","5","3188"
"268","267","8","4344","8","4352"
"269","268","4","1692","4","1696"
"270","269","9","5160","9","5169"
"271","270","6","3205","6","3211"
"272","271","7","4364","7","4371"
"273","272","6","3219","6","3225"
"274","273","4","1731","4","1735"
"275","274","5","3223","5","3228"
"276","275","3","1746","3","1749"
"277","276","7","4373","7","4380"
"278","277","4","1761","4","1765"
"279","278","4","1766","4","1770"
"280","279","2","480","2","482"
"281","280","3","1780","3","1783"
"282","281","2","484","2","486"
"283","282","2","485","2","487"
"284","283","11","5657","11","5668"
"285","284","5","3269","5","3274"
"286","285","4","1816","4","1820"
"287","286","9","5192","9","5201"
"288","287","5","3285","5","3290"
"289","288","7","4405","7","4412"
"290","289","7","4413","7","4420"
"291","290","10","5196","10","5206"
"292","291","4","1858","4","1862"
"293","292","2","503","2","505"
"294","293","9","5201","9","5210"
"295","294","5","3323","5","3328"
"296","295","2","508","2","510"
"297","296","10","5204","10","5214"
"298","297","7","4436","7","4443"
"299","298","8","4441","8","4449"
"300","299","5","3346","5","3351"
"301","300","3","1915","3","1918"
"302","301","3","1919","3","1922"
"303","302","10","5211","10","5221"
"304","303","5","3362","5","3367"
"305","304","4","1940","4","1944"
"306","305","7","4464","7","4471"
"307","306","4","1956","4","1960"
"308","307","9","5220","9","5229"
"309","308","2","532","2","534"
"310","309","11","5665","11","5676"
"311","310","5","3404","5","3409"
"312","311","1","537","1","538"
"313","312","10","5227","10","5237"
"314","313","5","3416","5","3421"
"315","314","3","2003","3","2006"
"316","315","6","3425","6","3431"
"317","316","9","5235","9","5244"
"318","317","7","4506","7","4513"
"319","318","4","2029","4","2033"
"320","319","9","5243","9","5252"
"321","320","10","5245","10","5255"
"322","321","9","5250","9","5259"
"323","322","3","2053","3","2056"
"324","323","1","557","1","558"
"325","324","1","557","1","558"
"326","325","4","2070","4","2074"
"327","326","9","5257","9","5266"
"328","327","12","5675","12","5687"
"329","328","6","3476","6","3482"
"330","329","9","5261","9","5270"
"331","330","7","4548","7","4555"
"332","331","5","3491","5","3496"
"333","332","6","3493","6","3499"
"334","333","12","5680","12","5692"
"335","334","7","4557","7","4564"
"336","335","3","2128","3","2131"
"337","336","8","4558","8","4566"
"338","337","1","574","1","575"
"339","338","2","574","2","576"
"340","339","2","575","2","577"
